,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,ambilobe,-13.2,49.05,21.29,88,7,1.4,MG,1596221117
283,keshorai patan,25.3,75.93,31.59,61,9,3.53,IN,1596221102
284,itarema,-2.92,-39.92,28.52,59,66,7.99,BR,1596221117
285,bhimunipatnam,17.88,83.43,29.0,83,40,1.0,IN,1596221117
286,puerto escondido,15.85,-97.07,32.0,59,40,3.03,MX,1596221100
287,andra,62.51,65.89,12.52,97,86,3.12,RU,1596221118
288,tagusao,9.19,117.81,26.76,83,100,5.8,PH,1596221118
289,dzialdowo,53.24,20.17,15.0,93,75,3.6,PL,1596221118
290,necochea,-38.55,-58.74,13.33,63,0,3.58,AR,1596221118
291,constitucion,-35.33,-72.42,14.57,62,100,2.68,CL,1596221119
292,mahebourg,-20.41,57.7,22.0,88,75,2.6,MU,1596221119
293,luanda,-8.84,13.23,22.0,83,75,4.1,AO,1596221020
294,port macquarie,-31.43,152.92,10.0,87,7,2.86,AU,1596220865
295,saint-augustin,51.23,-58.65,14.97,82,100,8.05,CA,1596221119
296,leczna,51.3,22.88,19.0,59,12,2.1,PL,1596221120
297,nyurba,63.28,118.33,11.41,85,0,1.95,RU,1596221120
298,krivodol,43.37,23.48,27.68,50,0,3.32,BG,1596221120
299,talcahuano,-36.72,-73.12,13.0,76,100,4.1,CL,1596221120
300,havre-saint-pierre,50.23,-63.6,17.0,100,90,2.6,CA,1596221121
301,kidodi,-7.6,37.0,21.81,64,4,1.77,TZ,1596221121
302,zhigansk,66.77,123.37,12.96,67,0,4.46,RU,1596221121
303,severo-yeniseyskiy,60.37,93.04,9.82,95,100,0.99,RU,1596221121
304,swellendam,-34.02,20.44,12.0,87,2,1.5,ZA,1596221121
305,simao,22.79,100.97,19.13,95,100,0.57,CN,1596221122
306,yerbogachen,61.28,108.01,13.63,81,100,3.09,RU,1596221122
307,sembe,1.65,14.58,24.26,72,93,0.95,CG,1596221122
308,koungheul,13.98,-14.8,30.92,63,53,2.41,SN,1596221122
309,inuvik,68.35,-133.72,24.0,60,20,2.1,CA,1596221122
310,finschhafen,-6.6,147.87,25.43,83,90,4.48,PG,1596221123
311,pitsunda,43.16,40.34,25.0,83,0,2.0,GE,1596221123
312,nisia floresta,-6.09,-35.21,27.0,74,75,6.7,BR,1596221123
313,novorozhdestvenskaya,45.86,39.95,24.36,64,38,1.94,RU,1596221123
314,warmbad,-28.45,18.73,19.26,22,0,5.25,NA,1596221124
315,henties bay,-22.12,14.28,21.16,36,0,6.75,NA,1596221124
316,duma,34.77,108.14,26.0,88,100,1.0,CN,1596221124
317,ballina,-28.87,153.57,12.0,93,74,3.6,AU,1596221124
318,turukhansk,65.82,87.98,13.22,86,100,8.2,RU,1596221124
319,sile,41.18,29.61,25.0,71,0,3.96,TR,1596221125
320,gat,31.61,34.76,28.33,58,0,0.9,IL,1596221125
321,kapit,2.02,112.93,23.34,90,100,0.33,MY,1596221125
322,ojinaga,29.57,-104.42,36.0,23,1,3.6,MX,1596221125
323,baruun-urt,46.68,113.28,19.18,61,54,3.08,MN,1596221125
324,kahului,20.89,-156.47,28.0,48,20,6.7,US,1596221125
325,khandbari,27.37,87.2,23.27,76,93,0.53,NP,1596221126
326,otautau,-46.15,168.0,8.93,93,100,0.11,NZ,1596221126
327,tomatlan,19.93,-105.25,34.17,46,1,3.53,MX,1596221126
328,broken hill,-31.95,141.43,9.0,57,0,3.6,AU,1596221126
329,russell,32.35,-85.2,33.0,59,75,2.6,US,1596221126
330,chuy,-33.7,-53.46,14.26,78,100,1.6,UY,1596221127
331,mangai,-4.05,19.53,27.88,24,75,0.67,CD,1596221127
332,gambela,8.25,34.58,21.6,90,100,1.31,ET,1596221127
333,meybod,32.25,54.02,34.0,23,75,2.1,IR,1596221127
334,komsomolskiy,40.43,71.72,25.0,47,0,1.76,UZ,1596221127
335,vallenar,-28.57,-70.76,30.66,10,0,2.08,CL,1596221128
336,coquimbo,-29.95,-71.34,22.0,26,0,3.6,CL,1596221128
337,sabha,27.04,14.43,34.48,17,0,5.0,LY,1596221128
338,nemuro,43.32,145.57,17.29,90,92,1.63,JP,1596221128
339,shahrud,36.42,54.98,18.79,56,0,5.73,IR,1596221128
340,novoilinsk,51.68,108.71,14.23,91,3,1.14,RU,1596221129
341,cabo san lucas,22.89,-109.91,31.11,48,20,3.6,MX,1596221018
342,trairi,-3.28,-39.27,28.59,58,9,6.87,BR,1596221065
343,masallatah,32.62,14.0,24.57,76,0,4.14,LY,1596221130
344,samarinda,-0.5,117.15,23.15,97,100,0.55,ID,1596220966
345,mercedes,-34.65,-59.43,17.78,40,0,1.75,AR,1596221130
346,saiha,22.48,92.97,22.35,94,100,0.42,IN,1596221130
347,sumter,28.71,-82.08,34.44,64,35,1.79,US,1596221130
348,urdoma,61.75,48.54,10.42,98,33,1.87,RU,1596221130
349,kamaishi,39.27,141.88,20.37,90,64,2.27,JP,1596221131
350,mount isa,-20.73,139.5,7.0,36,0,2.1,AU,1596221131
351,luis correia,-2.88,-41.67,30.49,50,61,5.03,BR,1596221131
352,sinnamary,5.38,-52.95,28.02,77,88,0.8,GF,1596221131
353,urumqi,43.8,87.6,23.0,43,0,1.0,CN,1596221132
354,mayumba,-3.43,10.66,22.49,83,14,3.79,GA,1596221132
355,paamiut,61.99,-49.67,7.09,93,100,4.45,GL,1596221132
356,airai,-8.93,125.41,10.84,70,55,1.2,TL,1596221132
357,khani,41.96,42.96,24.0,88,40,1.0,GE,1596221133
358,pizarro,4.95,-77.37,28.87,74,76,3.59,CO,1596221133
359,kabanjahe,3.1,98.49,26.0,100,40,1.0,ID,1596221133
360,marawi,8.0,124.29,24.44,93,100,1.79,PH,1596221133
361,namatanai,-3.67,152.43,26.53,84,77,4.35,PG,1596221133
362,bitung,1.45,125.18,25.0,94,40,0.5,ID,1596221134
363,mandalgovi,45.76,106.27,15.61,55,5,10.72,MN,1596221134
364,peterhead,57.51,-1.8,18.33,72,96,8.7,GB,1596221134
365,nioki,-2.72,17.68,29.49,39,73,1.28,CD,1596221134
366,thinadhoo,0.53,72.93,28.38,78,100,5.69,MV,1596221135
367,mareeba,-17.0,145.43,21.0,68,90,7.7,AU,1596221135
368,pokhara,28.23,83.98,22.05,78,99,1.13,NP,1596221135
369,xiongzhou,25.12,114.3,24.4,87,0,0.73,CN,1596221135
370,macusani,-14.08,-70.43,11.54,39,8,2.81,PE,1596221136
371,sosva,59.18,61.86,14.49,95,92,2.24,RU,1596221136
372,cockburn town,21.46,-71.14,28.37,82,14,13.59,TC,1596221136
373,atar,20.52,-13.05,37.0,31,63,2.64,MR,1596221136
374,gannan,47.91,123.5,20.24,76,28,1.93,CN,1596221137
375,kuusamo,65.97,29.18,13.0,71,90,2.1,FI,1596221137
376,maceio,-9.67,-35.74,26.0,74,40,7.2,BR,1596221137
377,boende,-0.22,20.87,26.72,52,9,0.75,CD,1596221137
378,kichera,55.94,110.1,17.12,83,100,2.11,RU,1596221138
379,wanaka,-44.7,169.15,7.22,86,100,1.34,NZ,1596221138
380,bambanglipuro,-7.95,110.28,22.66,88,95,1.77,ID,1596221138
381,vostok,46.49,135.88,15.79,100,84,2.07,RU,1596221138
382,marquette,46.53,-87.63,22.78,70,0,1.34,US,1596221139
383,hofn,64.25,-15.21,12.0,87,90,8.7,IS,1596221139
384,grand baie,-20.02,57.58,20.56,84,15,1.34,MU,1596221139
385,boa vista,2.82,-60.67,30.0,58,40,3.6,BR,1596220988
386,pangnirtung,66.15,-65.71,10.0,93,90,4.1,CA,1596221139
387,schattdorf,46.87,8.65,27.0,57,100,2.1,CH,1596221140
388,estelle,29.85,-90.11,35.0,60,0,4.34,US,1596221140
389,yeppoon,-23.13,150.73,12.0,87,20,1.5,AU,1596221140
390,port moresby,-9.44,147.18,21.91,72,50,6.6,PG,1596221140
391,jieshi,22.81,115.83,28.04,84,100,7.99,CN,1596221140
392,bilma,18.69,12.92,35.06,30,100,2.8,NE,1596221141
393,leningradskiy,69.38,178.42,2.8,89,100,3.84,RU,1596221141
394,la cruz,23.92,-106.9,31.95,56,35,3.6,MX,1596221141
395,esperance,-33.87,121.9,10.0,100,90,2.6,AU,1596221141
396,vyartsilya,62.18,30.69,12.35,69,100,3.78,RU,1596221142
397,kungurtug,50.6,97.52,9.8,87,100,1.36,RU,1596221142
398,camacha,33.08,-16.33,22.0,68,20,5.1,PT,1596221142
399,dicabisagan,17.08,122.42,26.61,78,100,1.52,PH,1596221142
400,rio gallegos,-51.62,-69.22,3.0,86,40,7.2,AR,1596221143
401,hailey,43.52,-114.32,31.0,27,5,4.1,US,1596221143
402,boone,39.03,-92.33,23.0,73,90,7.7,US,1596221144
403,fort smith,35.39,-94.4,28.0,65,90,8.7,US,1596221144
404,acapulco,16.86,-99.89,31.0,66,40,1.5,MX,1596221123
405,seydi,39.48,62.91,27.33,24,0,6.57,TM,1596221144
406,eureka,40.8,-124.16,15.56,93,90,2.6,US,1596220889
407,sidi ali,36.1,0.42,27.38,60,0,1.16,DZ,1596221145
408,andenes,69.31,16.12,13.0,93,75,6.2,NO,1596221145
409,pineville,31.32,-92.43,33.33,62,20,3.6,US,1596221145
410,avera,33.19,-82.53,34.0,52,40,5.7,US,1596221145
411,alamos,27.02,-108.93,32.78,64,93,2.24,MX,1596221145
412,ust-maya,60.42,134.53,13.4,63,56,1.97,RU,1596221146
413,mehamn,71.04,27.85,9.0,87,90,2.6,NO,1596221146
414,motygino,58.18,94.76,12.36,87,37,1.07,RU,1596221146
415,kalaleh,37.38,55.49,25.0,73,40,4.1,IR,1596221146
416,jimenez,28.33,-105.4,30.0,40,40,6.7,MX,1596221147
417,santander,43.46,-3.8,23.33,83,90,2.6,ES,1596221147
418,salalah,17.02,54.09,29.0,89,75,2.1,OM,1596221147
419,vavuniya,8.75,80.5,25.92,82,100,3.98,LK,1596221147
420,kidal,18.44,1.41,39.81,9,0,2.72,ML,1596221148
421,wewak,-3.55,143.63,26.82,84,100,2.94,PG,1596221148
422,sayyan,15.17,44.32,16.85,77,100,2.51,YE,1596221148
423,itoman,26.12,127.67,28.89,88,20,2.6,JP,1596220981
424,cap-aux-meules,47.38,-61.86,22.0,83,75,5.1,CA,1596221149
425,koindu,8.44,-10.33,23.57,94,71,1.6,GN,1596221149
426,pirawa,24.16,76.03,28.64,75,69,2.93,IN,1596221149
427,moyale,3.52,39.06,21.79,69,60,3.44,KE,1596221149
428,mabaruma,8.2,-59.78,31.94,56,2,2.13,GY,1596221150
429,kurunegala,7.49,80.36,28.0,78,75,4.1,LK,1596221150
430,sola,-13.88,167.55,26.11,83,98,7.45,VU,1596221150
431,flin flon,54.77,-101.86,23.0,49,75,5.1,CA,1596221132
432,emba,48.83,58.14,27.12,22,98,1.1,KZ,1596221151
433,barcelos,41.54,-8.62,23.89,82,100,4.1,PT,1596221151
434,kamyshlov,56.84,62.71,17.36,90,100,3.52,RU,1596221151
435,sao joao da barra,-21.64,-41.05,22.0,68,75,4.1,BR,1596221152
436,upata,8.01,-62.4,33.89,61,12,3.58,VE,1596221152
437,raudeberg,61.99,5.14,19.0,72,96,2.6,NO,1596221152
438,shitanjing,39.23,106.34,25.25,22,100,2.77,CN,1596221152
439,humaita,-7.51,-63.02,37.06,19,58,1.4,BR,1596221152
440,yumen,40.28,97.2,17.0,24,0,1.04,CN,1596221153
441,mezen,65.85,44.24,10.04,86,7,3.83,RU,1596221153
442,terney,45.05,136.61,18.58,92,84,2.25,RU,1596221153
443,antofagasta,-23.65,-70.4,15.0,72,0,5.1,CL,1596220877
444,aksu,41.12,80.26,26.76,20,49,2.7,CN,1596221153
445,qaqortoq,60.72,-46.03,13.0,58,75,3.6,GL,1596221154
446,mnogovershinnyy,53.94,139.92,11.44,80,100,2.34,RU,1596221154
447,culebra,18.3,-65.3,31.0,62,20,7.2,PR,1596221154
448,luganville,-15.53,167.17,24.0,100,90,1.43,VU,1596221154
449,hun,29.13,15.95,31.55,19,0,5.33,LY,1596221155
450,bratsk,56.13,101.61,16.0,82,17,3.0,RU,1596221155
451,patan,27.67,85.33,22.0,100,75,1.5,NP,1596221155
452,mahibadhoo,3.78,72.97,28.15,80,83,6.98,MV,1596221155
453,tabou,4.42,-7.35,24.34,83,81,4.71,CI,1596221156
454,deming,32.27,-107.76,32.0,35,1,7.2,US,1596221156
455,oktyabrskiy,54.48,53.47,16.88,90,100,2.63,RU,1596221156
456,port alberni,49.24,-124.8,18.89,77,99,0.89,CA,1596221042
457,cap malheureux,-19.98,57.61,20.56,84,10,1.34,MU,1596221156
458,montrose,38.42,-108.27,31.11,18,0,2.68,US,1596221157
459,ruston,32.52,-92.64,30.0,62,90,4.1,US,1596221082
460,camocim,-2.9,-40.84,31.99,40,61,6.34,BR,1596221157
461,rodrigues alves,-7.74,-72.65,32.93,35,80,1.79,BR,1596221157
462,lavrentiya,65.58,-171.0,6.96,78,24,2.14,RU,1596221158
463,ermua,43.18,-2.5,27.0,88,90,3.6,ES,1596221158
464,togur,58.36,82.83,11.91,90,58,1.68,RU,1596221158
465,shamkhal,43.06,47.34,26.0,61,0,8.0,RU,1596221158
466,aljezur,37.32,-8.8,25.0,78,0,5.31,PT,1596221158
467,miranda de ebro,42.69,-2.95,27.0,65,20,3.6,ES,1596221159
468,el colorado,-26.31,-59.37,24.76,46,11,1.7,AR,1596220941
469,conceicao do mato dentro,-19.04,-43.42,21.35,63,54,4.42,BR,1596221159
470,xiamen,24.48,118.08,29.0,89,75,1.0,CN,1596221034
471,zapolyarnyy,69.42,30.81,9.0,87,75,6.7,RU,1596221160
472,fairbanks,64.84,-147.72,19.44,67,75,2.6,US,1596221060
473,havelock,34.88,-76.9,34.0,20,40,6.7,US,1596221160
474,hervey bay,-25.3,152.85,14.44,82,43,2.24,AU,1596221160
475,petrovsk-zabaykalskiy,51.27,108.84,13.45,93,1,0.68,RU,1596221161
476,kasempa,-13.46,25.83,16.32,47,0,3.14,ZM,1596221161
477,kingisepp,59.37,28.61,11.6,91,29,1.24,RU,1596221161
478,ponta delgada,37.73,-25.67,23.0,60,40,4.6,PT,1596221161
479,rabat,33.99,-6.84,25.0,83,40,5.7,MA,1596221162
480,saldanha,-33.01,17.94,14.0,82,0,3.6,ZA,1596221162
481,tecoanapa,16.52,-98.75,31.31,56,89,4.17,MX,1596221162
482,panama city,8.99,-79.52,34.0,52,40,4.6,PA,1596221163
483,shizunai,42.33,142.37,18.53,91,95,1.53,JP,1596221163
484,inhambane,-23.86,35.38,17.77,83,0,3.49,MZ,1596221163
485,kamenka,51.32,42.77,17.78,92,100,3.15,RU,1596221163
486,pyapon,16.28,95.68,26.5,87,20,2.82,MM,1596221163
487,oksfjord,70.24,22.35,18.0,72,0,3.6,NO,1596221164
488,forestville,38.85,-76.88,25.0,88,75,1.5,US,1596221164
489,kayes,14.0,-11.0,32.0,62,40,2.1,ML,1596221164
490,nobres,-14.72,-56.33,37.06,16,0,1.82,BR,1596221164
491,pala,9.36,14.9,24.29,84,67,1.46,TD,1596221165
492,la union,-5.4,-80.75,27.5,41,0,5.12,PE,1596221165
493,rocha,-34.48,-54.33,15.12,69,100,1.48,UY,1596221165
494,isangel,-19.55,169.27,24.0,78,98,3.6,VU,1596221165
495,luxor,25.7,32.64,40.18,15,0,8.95,EG,1596221165
496,yiyang,28.59,112.33,26.88,81,37,1.28,CN,1596221166
497,areia branca,-4.96,-37.14,28.27,63,36,7.29,BR,1596221166
498,sesheke,-17.48,24.3,20.0,30,0,2.1,ZM,1596221166
499,benton harbor,42.12,-86.45,27.0,51,1,4.1,US,1596221166
500,kavaratti,10.57,72.64,27.79,79,100,10.13,IN,1596221115
501,abay,49.63,72.85,13.0,93,0,2.0,KZ,1596221167
502,tabuk,17.42,121.44,23.35,89,100,0.25,PH,1596221171
503,barrhead,55.8,-4.39,21.67,82,100,3.1,GB,1596221171
504,biak,-0.91,122.88,24.21,84,100,3.34,ID,1596221172
505,dalbandin,28.89,64.41,29.18,29,0,4.61,PK,1596221172
506,tonota,-21.48,27.48,16.0,53,0,3.1,BW,1596221172
507,klyuchevsk,57.12,60.94,18.0,82,85,3.0,RU,1596221173
508,iralaya,15.0,-83.23,29.75,75,100,4.37,HN,1596221173
509,sisimiut,66.94,-53.67,8.16,87,100,5.75,GL,1596221173
510,ewa beach,21.32,-158.01,27.0,61,75,2.6,US,1596221173
511,saint-louis,16.33,-15.0,33.83,45,26,1.93,SN,1596221173
512,ketchikan,55.34,-131.65,21.0,64,1,7.7,US,1596221174
513,quatre cocos,-20.21,57.76,22.0,88,75,2.6,MU,1596221174
514,ngara,-2.51,30.66,20.16,42,44,1.09,TZ,1596221174
515,takoradi,4.88,-1.76,23.89,85,100,4.54,GH,1596221174
516,zhenhai,24.26,118.09,29.0,89,75,1.0,CN,1596221175
517,kinablangan,7.69,126.55,26.22,78,100,2.48,PH,1596221175
518,turayf,31.67,38.66,34.0,16,0,6.2,SA,1596221175
519,findlay,41.04,-83.65,27.22,47,40,4.6,US,1596221115
520,camopi,3.17,-52.32,28.14,86,99,0.91,GF,1596221176
521,nouakchott,18.09,-15.98,32.0,62,95,5.1,MR,1596221176
522,joensuu,62.6,29.76,14.44,71,20,3.6,FI,1596221176
523,mangaratiba,-22.96,-44.04,22.22,81,66,2.68,BR,1596221176
524,abu dhabi,24.47,54.37,36.0,71,100,3.1,AE,1596221002
525,port hardy,50.7,-127.42,16.0,82,75,1.5,CA,1596221177
526,portage,41.17,-81.2,28.33,39,1,2.1,US,1596221177
527,marzuq,14.4,46.47,27.17,61,100,3.42,YE,1596221177
528,araouane,18.9,-3.53,40.83,12,0,3.73,ML,1596221177
529,makasar,-5.14,119.42,22.0,94,20,1.0,ID,1596220939
530,dzaoudzi,-12.79,45.27,25.0,73,75,6.7,YT,1596221178
531,buenos aires,-34.61,-58.38,13.89,76,0,2.6,AR,1596220548
532,liwale,-9.77,37.93,20.41,48,0,1.6,TZ,1596221178
533,smithers,54.78,-127.17,24.0,57,5,1.5,CA,1596221178
534,high rock,26.62,-78.28,35.0,50,20,5.7,BS,1596221178
535,dikson,73.51,80.55,13.63,69,100,5.64,RU,1596221178
536,grindavik,63.84,-22.43,11.0,93,90,6.7,IS,1596221179
537,san carlos de bariloche,-41.15,-71.31,9.0,42,40,5.7,AR,1596221083
538,union,40.63,-74.27,27.22,73,75,1.66,US,1596220910
539,farafangana,-22.82,47.83,18.8,78,8,2.21,MG,1596221179
540,zhanakorgan,43.91,67.25,25.52,38,9,2.03,KZ,1596221180
541,balakovo,52.03,47.8,20.07,60,100,2.37,RU,1596221121
542,domoni,-12.26,44.53,23.4,81,65,5.82,KM,1596221180
543,magdagachi,53.45,125.8,18.01,99,100,3.79,RU,1596221180
544,skjervoy,70.03,20.97,17.0,63,0,4.1,NO,1596221180
545,leshukonskoye,64.9,45.76,12.62,78,89,4.26,RU,1596221181
546,sivas,39.79,37.0,15.0,82,0,5.1,TR,1596220951
547,portland,45.52,-122.68,26.67,38,20,2.1,US,1596221028
548,zyryanka,65.75,150.85,10.79,70,0,1.84,RU,1596221181
549,nova era,-19.75,-43.04,22.05,56,41,2.63,BR,1596221181
550,zhuhai,22.28,113.57,28.0,88,40,9.8,CN,1596221182
551,selma,36.57,-119.61,32.78,38,1,0.58,US,1596221182
552,meulaboh,4.14,96.13,24.45,76,100,1.59,ID,1596221182
553,oxford,51.75,-1.26,28.0,48,100,7.2,GB,1596221120
554,paracuru,-3.41,-39.03,26.67,64,4,9.39,BR,1596220893
555,lakes entrance,-37.88,147.98,3.89,96,100,2.24,AU,1596221183
556,prainha,-1.8,-53.48,35.21,35,68,2.1,BR,1596221183
557,el alto,-4.27,-81.21,23.0,64,9,7.2,PE,1596221183
558,oriximina,-1.77,-55.87,35.4,34,0,2.42,BR,1596221183
559,tasgaon,17.03,74.6,23.35,89,100,4.45,IN,1596221184
560,rio grande,-32.03,-52.1,21.0,52,100,4.1,BR,1596220966
561,puerto del rosario,28.5,-13.86,24.0,78,20,5.7,ES,1596221051
